video_id,video_url,domain,subdomain,question,option_a,option_b,option_c,option_d,correct_answer
eng_vid1,./all_data2/eng_vid1/eng_vid1.mp4,Tech & Engineering,Robotics,Why is the engineer at the beginning of the video included?,"The reason might be to imply the practical uses of Atlas in a commercial setting, to be an assistant who can perform complex tasks",To show how professional engineers can be forgetful sometimes,The engineer is controlling the robot manually,The engineer is instructing Atlas to build a house,a
eng_vid1,./all_data2/eng_vid1/eng_vid1.mp4,Tech & Engineering,Robotics,What would happen if the robot was out of battery?,Atlas would not be able to perform the task at hand,Atlas would fall over,Atlas would self-destruct,Atlas would tell the engineer that it cannot complete the task,a
eng_vid1,./all_data2/eng_vid1/eng_vid1.mp4,Tech & Engineering,Robotics,What could the demonstrated performance imply for future abilities of Atlas?,It has no implications for future abilities,It will make Atlas's abilities more complicated,It implies that Atlas can perform assisting tasks to a human facilitator and may also be able to manage a workflow by itself eventually,It implies that Atlas will do a backflip after every action it takes,c
eng_vid1,./all_data2/eng_vid1/eng_vid1.mp4,Tech & Engineering,Robotics,What hardware allows Atlas to gain information about its surroundings?,"A variety of sensors allows Atlas to gather visual, tactile, and other sensory information from its surroundings.",The temperature of the air around it,It does not use any hardware to observe its surroundings,Atlas has an artifical central nervous system and brain modeled after human anatomy which allows it to gain information about its surroundings.,a
eng_vid2,./all_data2/eng_vid2/eng_vid2.mp4,Tech & Engineering,Gardening,What might be the reason for the observed phenomenon in the video?,The reason might be related to an aversion the snails have to some property of the copper.,Due to an error in the experimental setup,Because the snails are too tired to move over the barrier,Unrelated to the experiment,a
eng_vid2,./all_data2/eng_vid2/eng_vid2.mp4,Tech & Engineering,Gardening,What would happen if the copper barrier was not present?,The snails would stop at the same place because they would not want to expend energy unnecessarily,The snails would avoid the plant entirely,The snails would not be prevented from climbing to the leaves of the plants and eating them,The snails would crowd around the base of the plant and topple it so that they wouldn't have to climb it,c
eng_vid2,./all_data2/eng_vid2/eng_vid2.mp4,Tech & Engineering,Gardening,How could the demonstrated phenomenon affect future technologies for snail pest control?,It will have no impact,Copper could be incorporated into a device that can be attached to plants to prevent snails from eating them,A different type of metal could be used as a barrier to prevent snails from climbing up plants,A pesticide containing copper could be sprayed on the soil to prevent snails from encroaching,b
eng_vid2,./all_data2/eng_vid2/eng_vid2.mp4,Tech & Engineering,Gardening,Why is copper used to construct the barier?,"It is hypothesized that the charge of copper ions react with the dissolved ions in the snail mucus, and snails are aversed to this",Copper is a cheap and commonly available metal to use in this context,The color of copper repels snails,The reflectivity of copper repels snails,a
sci_vid3,./all_data2/sci_vid3/sci_vid3.mp4,Science,Zoology,What season might the video be captured during?,"Summer, since it is before winter","Likely autumn, since it is the season that precedes winter and during which food is abundant for squirrels to store surpluses",The beginning of winter,It is not possible to determine,b
sci_vid3,./all_data2/sci_vid3/sci_vid3.mp4,Science,Zoology,What would happen if the squirrel didn't collect nuts before winter time?,It would likely starve and possibly even die since food is scarce during winter months,It would find alternate sources of food during the winter that squirrels do not commonly eat,"It would hibernate, conserving energy so that it does not have to eat","Squirrels can sustain themselves off of just water, so it would not eat during the winter months",a
